ticker,name_kr,market,dart_corp_code,name_en,factiva_co_code,asof
005930,삼성전자,KOSPI,00126380,Samsung Electronics,sansel,20260430
000660,SK하이닉스,KOSPI,00164779,SK Hynix,hylec,20260430
005380,현대차,KOSPI,00164742,Hyundai Motor,hmotor,20260430
373220,LG에너지솔루션,KOSPI,01515323,LG Energy Solution,lgesxl,20260430
034020,두산에너빌리티,KOSPI,00159616,Doosan Enerbility,khic,20260430
012450,한화에어로스페이스,KOSPI,00126566,Hanwha Aerospace,samae,20260430
009150,삼성전기,KOSPI,00126371,Samsung Electro-Mechanics,samelm,20260430
105560,KB금융,KOSPI,00688996,KB Financial Group,kbfing,20260430
000270,기아,KOSPI,00106641,Kia,kiaind,20260430
006400,삼성SDI,KOSPI,00126362,Samsung SDI,samel,20260430
032830,삼성생명,KOSPI,00126256,Samsung Life Insurance,dblif,20260430
028260,삼성물산,KOSPI,00149655,Samsung C&T,smevri,20260430
055550,신한지주,KOSPI,00382199,Shinhan Financial Group,shnfin,20260430
068270,셀트리온,KOSPI,00413046,Celltrion,orccol,20260430
012330,현대모비스,KOSPI,00164788,Hyundai Mobis,hyupre,20260430
005490,POSCO홀딩스,KOSPI,00155319,POSCO Holdings,pohn,20260430
006800,미래에셋증권,KOSPI,00111722,Mirae Asset Securities,daesec,20260430
035420,NAVER,KOSPI,00266961,Naver,nhncrp,20260430
009540,HD한국조선해양,KOSPI,00164830,HD Korea Shipbuilding & Offshore Engineering,hyheav,20260430
051910,LG화학,KOSPI,00356361,LG Chem,lgchem,20260430
096770,SK이노베이션,KOSPI,00631518,SK Innovation,ksneg,20260430
066570,LG전자,KOSPI,00401731,LG Electronics,lgelec,20260430
035720,카카오,KOSPI,00258801,Kakao,daumcm,20260430
000810,삼성화재,KOSPI,00139214,Samsung Fire & Marine Insurance,ankfmi,20260430
017670,SK텔레콤,KOSPI,00159023,SK Telecom,kmtel,20260430
000720,현대건설,KOSPI,00164478,Hyundai Engineering & Construction,hyuec,20260430
090430,아모레퍼시픽,KOSPI,00583424,Amorepacific,amorep,20260430
000100,유한양행,KOSPI,00145109,Yuhan,yuhn,20260430
034220,LG디스플레이,KOSPI,00105873,LG Display,lgplcd,20260430
251270,넷마블,KOSPI,00904672,Netmarble,cjgnet,20260430
